Filename,Original Size (bytes),Compressed Size (bytes),Compression Ratio,Time to Compress (seconds),Entropy,Redundancy,Coding Technique
sample1.bmp,823122,308682,2.666569479269928,0.06781721115112305,7.609442025403377,0.3905579745966232,png
sample2.bmp,7376082,7060410,1.0447101513934742,5.103102445602417,7.629871019861127,0.030200459088526088,huffman
sample2.bmp,7376082,13931314,0.529460609386882,16.570046186447144,3.4258382426276723,0.571770219671541,lzw
sample2.bmp,7376082,24191391,0.3049052450105081,2.210012435913086,7.629871019861127,0.046266122517359176,rle
sample2.bmp,7372800,3365397,2.190766795121051,0.20927000045776367,7.629871019861127,0.5646575073135787,deflate
sample2.bmp,7376082,2960247,2.4917116713571534,34.428677797317505,3.9030019091239643,12.096998090876035,predictive_coding
sample2.bmp,7376082,2984444,2.471509601118332,0.6178708076477051,7.629871019861124,0.3701289801388761,jpeg2000
sample2.bmp,7376082,793970,9.290126830988577,0.31971120834350586,7.6220057580928104,0.37799424190718955,webp
sample2.bmp,7376082,2606449,2.829935287435127,0.6098227500915527,7.629871019861124,0.3701289801388761,png
sample3.bmp,11523282,11035596,1.0441920853209923,8.695681095123291,7.63325398898818,0.029737070039598024,huffman
sample3.bmp,11523282,21813225,0.5282704414409148,30.92099356651306,3.423614229461839,0.5720482213172702,lzw
sample3.bmp,11523282,38605364,0.29848914259686815,3.701673984527588,7.63325398898818,0.04584325137647749,rle
sample3.bmp,11520000,5291528,2.1770649234020873,0.3577001094818115,7.633253988988182,0.5617233375234088,deflate
sample3.bmp,11523282,4601066,2.504480918117671,43.13420081138611,3.916662480978665,12.083337519021335,predictive_coding
sample3.bmp,11523282,4691306,2.4563057707171523,0.8658826351165771,7.633253988988177,0.3667460110118226,jpeg2000
sample3.bmp,11523282,1233198,9.344226961120599,0.4645423889160156,7.625671167872697,0.3743288321273033,webp
sample3.bmp,11523282,4080098,2.824265985767989,0.8692848682403564,7.633253988988177,0.3667460110118226,png
sample_1280x853.bmp,3275658,3228908,1.0144785791357325,2.453580141067505,7.860900610195778,0.023218552563111672,huffman
sample_1280x853.bmp,3275658,8883132,0.3687503461616916,7.139919757843018,3.4302836178548866,0.5712145477681392,lzw
sample_1280x853.bmp,3275658,16135735,0.20300643261679743,1.5350282192230225,7.860900610195778,0.017387423725527706,rle
sample_1280x853.bmp,3275520,2465429,1.3285801375744344,0.11461973190307617,7.860900610195774,0.2604039843103402,deflate
sample_1280x853.bmp,3275658,2324164,1.4093919361972735,13.974186420440674,5.752120036341304,10.247879963658697,predictive_coding
sample_1280x853.bmp,3275658,2148928,1.524321894451559,0.41117095947265625,7.860900610195777,0.13909938980422343,jpeg2000
sample_1280x853.bmp,3275658,637190,5.140786892449662,0.22843599319458008,7.877173797557109,0.12282620244289078,webp
sample_1280x853.bmp,3275658,2052244,1.5961347676007336,0.3655564785003662,7.860900610195776,0.13909938980422432,png
sample_1920x1280.bmp,7372938,7262278,1.0152376430646142,5.708571910858154,7.856372650925809,0.022798220384955492,huffman
sample_1920x1280.bmp,7372938,19887389,0.3707343382281103,18.661406755447388,3.431718085022934,0.5710352393721332,lzw
sample_1920x1280.bmp,7372938,37321628,0.19755135011795305,4.19006609916687,7.856372650925809,0.01795341863427391,rle
sample_1920x1280.bmp,7372800,5848436,1.2606447262139826,0.3193092346191406,7.856372650925807,0.22099655759870862,deflate
sample_1920x1280.bmp,7372938,5329243,1.38348692300201,30.66660237312317,5.896130381997783,10.103869618002218,predictive_coding
sample_1920x1280.bmp,7372938,5051772,1.4594756057874345,1.1103618144989014,7.856372650925808,0.14362734907419217,jpeg2000
sample_1920x1280.bmp,7372938,1503672,4.9032887491421,0.4394035339355469,7.873848088468918,0.12615191153108185,webp
sample_1920x1280.bmp,7372938,4724905,1.5604415326869006,0.5382566452026367,7.856372650925808,0.14362734907419217,png
sample_5184x3456.bmp,53747850,53046308,1.0132250862774466,40.533942461013794,7.874687238999966,0.02078866516503375,huffman
sample_5184x3456.bmp,53747850,139388918,0.38559629252592376,144.0983543395996,3.443541583485274,0.5695573020643407,lzw
sample_5184x3456.bmp,53747850,278463490,0.19301578817388232,20.81172466278076,7.874687238999966,0.015664095125004218,rle
